[ 2013-04-17T17:59:38+08:00 ] /SScms/install.php | INFO: Tag[ app_begin ] --START--
[ 2013-04-17T17:59:38+08:00 ] /SScms/install.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001001s ]
[ 2013-04-17T17:59:38+08:00 ] /SScms/install.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001096s ]
[ 2013-04-17T17:59:38+08:00 ] /SScms/install.php | INFO: Tag[ view_template ] --START--
[ 2013-04-17T17:59:38+08:00 ] /SScms/install.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001613s ]
[ 2013-04-17T17:59:38+08:00 ] /SScms/install.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001704s ]
[ 2013-04-17T17:59:38+08:00 ] /SScms/install.php | INFO: Tag[ view_parse ] --START--
[ 2013-04-17T17:59:38+08:00 ] /SScms/install.php | INFO: Run ParseTemplate Behavior [ RunTime:0.102881s ]
[ 2013-04-17T17:59:38+08:00 ] /SScms/install.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.102976s ]
[ 2013-04-17T17:59:38+08:00 ] /SScms/install.php | INFO: Tag[ view_filter ] --START--
[ 2013-04-17T17:59:38+08:00 ] /SScms/install.php | INFO: Run ContentReplace Behavior [ RunTime:0.001107s ]
[ 2013-04-17T17:59:38+08:00 ] /SScms/install.php | INFO: Run TokenBuild Behavior [ RunTime:0.001062s ]
[ 2013-04-17T17:59:38+08:00 ] /SScms/install.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000903s ]
[ 2013-04-17T17:59:38+08:00 ] /SScms/install.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001012s ]
[ 2013-04-17T17:59:38+08:00 ] /SScms/install.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004257s ]
[ 2013-04-17T17:59:38+08:00 ] /SScms/install.php | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\PHP100.COM1\SScms\install\Lang\common.php:1) View.class.php 第 120 行.
[ 2013-04-17T17:59:38+08:00 ] /SScms/install.php | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\PHP100.COM1\SScms\install\Lang\common.php:1) View.class.php 第 121 行.
[ 2013-04-17T17:59:38+08:00 ] /SScms/install.php | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\PHP100.COM1\SScms\install\Lang\common.php:1) View.class.php 第 122 行.
[ 2013-04-17T17:59:38+08:00 ] /SScms/install.php | INFO: Tag[ view_end ] --START--
[ 2013-04-17T17:59:38+08:00 ] /SScms/install.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000938s ]
[ 2013-04-17T17:59:38+08:00 ] /SScms/install.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2013-04-17T17:59:40+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Tag[ app_begin ] --START--
[ 2013-04-17T17:59:40+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000651s ]
[ 2013-04-17T17:59:40+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000741s ]
[ 2013-04-17T17:59:40+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Tag[ view_template ] --START--
[ 2013-04-17T17:59:40+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Run LocationTemplate Behavior [ RunTime:0.001337s ]
[ 2013-04-17T17:59:40+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001412s ]
[ 2013-04-17T17:59:40+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Tag[ view_parse ] --START--
[ 2013-04-17T17:59:40+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Run ParseTemplate Behavior [ RunTime:0.057428s ]
[ 2013-04-17T17:59:40+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.057526s ]
[ 2013-04-17T17:59:40+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Tag[ view_filter ] --START--
[ 2013-04-17T17:59:40+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Run ContentReplace Behavior [ RunTime:0.001196s ]
[ 2013-04-17T17:59:40+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Run TokenBuild Behavior [ RunTime:0.001083s ]
[ 2013-04-17T17:59:40+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000898s ]
[ 2013-04-17T17:59:40+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Run ShowRuntime Behavior [ RunTime:0.001002s ]
[ 2013-04-17T17:59:40+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004363s ]
[ 2013-04-17T17:59:40+08:00 ] /SScms/install.php?a=setconf&m=index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\PHP100.COM1\SScms\install\Lang\common.php:1) View.class.php 第 120 行.
[ 2013-04-17T17:59:40+08:00 ] /SScms/install.php?a=setconf&m=index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\PHP100.COM1\SScms\install\Lang\common.php:1) View.class.php 第 121 行.
[ 2013-04-17T17:59:40+08:00 ] /SScms/install.php?a=setconf&m=index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\PHP100.COM1\SScms\install\Lang\common.php:1) View.class.php 第 122 行.
[ 2013-04-17T17:59:40+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Tag[ view_end ] --START--
[ 2013-04-17T17:59:40+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000930s ]
[ 2013-04-17T17:59:40+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000992s ]
[ 2013-04-17T17:59:53+08:00 ] /SScms/install.php?a=install&m=index | INFO: Tag[ app_begin ] --START--
[ 2013-04-17T17:59:53+08:00 ] /SScms/install.php?a=install&m=index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000298s ]
[ 2013-04-17T17:59:53+08:00 ] /SScms/install.php?a=install&m=index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000393s ]
[ 2013-04-17T17:59:53+08:00 ] /SScms/install.php?a=install&m=index | INFO: Tag[ view_template ] --START--
[ 2013-04-17T17:59:53+08:00 ] /SScms/install.php?a=install&m=index | INFO: Run LocationTemplate Behavior [ RunTime:0.000652s ]
[ 2013-04-17T17:59:53+08:00 ] /SScms/install.php?a=install&m=index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000726s ]
[ 2013-04-17T17:59:53+08:00 ] /SScms/install.php?a=install&m=index | INFO: Tag[ view_parse ] --START--
[ 2013-04-17T17:59:53+08:00 ] /SScms/install.php?a=install&m=index | INFO: Run ParseTemplate Behavior [ RunTime:0.063905s ]
[ 2013-04-17T17:59:53+08:00 ] /SScms/install.php?a=install&m=index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.064001s ]
[ 2013-04-17T17:59:53+08:00 ] /SScms/install.php?a=install&m=index | INFO: Tag[ view_filter ] --START--
[ 2013-04-17T17:59:53+08:00 ] /SScms/install.php?a=install&m=index | INFO: Run ContentReplace Behavior [ RunTime:0.000357s ]
[ 2013-04-17T17:59:53+08:00 ] /SScms/install.php?a=install&m=index | INFO: Run TokenBuild Behavior [ RunTime:0.000329s ]
[ 2013-04-17T17:59:53+08:00 ] /SScms/install.php?a=install&m=index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000186s ]
[ 2013-04-17T17:59:53+08:00 ] /SScms/install.php?a=install&m=index | INFO: Run ShowRuntime Behavior [ RunTime:0.000296s ]
[ 2013-04-17T17:59:53+08:00 ] /SScms/install.php?a=install&m=index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001336s ]
[ 2013-04-17T17:59:53+08:00 ] /SScms/install.php?a=install&m=index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\PHP100.COM1\SScms\install\Lang\common.php:1) View.class.php 第 120 行.
[ 2013-04-17T17:59:53+08:00 ] /SScms/install.php?a=install&m=index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\PHP100.COM1\SScms\install\Lang\common.php:1) View.class.php 第 121 行.
[ 2013-04-17T17:59:53+08:00 ] /SScms/install.php?a=install&m=index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\PHP100.COM1\SScms\install\Lang\common.php:1) View.class.php 第 122 行.
[ 2013-04-17T17:59:53+08:00 ] /SScms/install.php?a=install&m=index | INFO: Tag[ view_end ] --START--
[ 2013-04-17T17:59:53+08:00 ] /SScms/install.php?a=install&m=index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000224s ]
[ 2013-04-17T17:59:53+08:00 ] /SScms/install.php?a=install&m=index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000286s ]
