[ 2013-03-31T09:28:23+08:00 ] /SScms/install.php | INFO: Tag[ app_begin ] --START--
[ 2013-03-31T09:28:23+08:00 ] /SScms/install.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.011901s ]
[ 2013-03-31T09:28:23+08:00 ] /SScms/install.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.013216s ]
[ 2013-03-31T09:28:23+08:00 ] /SScms/install.php | NOTIC: [8] Use of undefined constant IS_POST - assumed 'IS_POST' indexAction.class.php 第 18 行.
[ 2013-03-31T09:28:23+08:00 ] /SScms/install.php | INFO: Tag[ view_template ] --START--
[ 2013-03-31T09:28:23+08:00 ] /SScms/install.php | INFO: Run LocationTemplate Behavior [ RunTime:0.018512s ]
[ 2013-03-31T09:28:23+08:00 ] /SScms/install.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.018586s ]
[ 2013-03-31T09:28:23+08:00 ] /SScms/install.php | INFO: Tag[ view_parse ] --START--
[ 2013-03-31T09:28:23+08:00 ] /SScms/install.php | INFO: Run ParseTemplate Behavior [ RunTime:0.134067s ]
[ 2013-03-31T09:28:23+08:00 ] /SScms/install.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.134146s ]
[ 2013-03-31T09:28:23+08:00 ] /SScms/install.php | INFO: Tag[ view_filter ] --START--
[ 2013-03-31T09:28:23+08:00 ] /SScms/install.php | INFO: Run ContentReplace Behavior [ RunTime:0.011029s ]
[ 2013-03-31T09:28:23+08:00 ] /SScms/install.php | INFO: Run TokenBuild Behavior [ RunTime:0.003788s ]
[ 2013-03-31T09:28:23+08:00 ] /SScms/install.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.006348s ]
[ 2013-03-31T09:28:23+08:00 ] /SScms/install.php | INFO: Run ShowRuntime Behavior [ RunTime:0.008174s ]
[ 2013-03-31T09:28:23+08:00 ] /SScms/install.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.029508s ]
