[ 2013-04-19T21:59:43+08:00 ] /SScms/install.php | INFO: Tag[ app_begin ] --START--
[ 2013-04-19T21:59:43+08:00 ] /SScms/install.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.041085s ]
[ 2013-04-19T21:59:43+08:00 ] /SScms/install.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.096015s ]
[ 2013-04-19T21:59:43+08:00 ] /SScms/install.php | INFO: Tag[ view_template ] --START--
[ 2013-04-19T21:59:43+08:00 ] /SScms/install.php | INFO: Run LocationTemplate Behavior [ RunTime:0.065702s ]
[ 2013-04-19T21:59:43+08:00 ] /SScms/install.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.065874s ]
[ 2013-04-19T21:59:43+08:00 ] /SScms/install.php | INFO: Tag[ view_parse ] --START--
[ 2013-04-19T21:59:43+08:00 ] /SScms/install.php | INFO: Run ParseTemplate Behavior [ RunTime:0.380972s ]
[ 2013-04-19T21:59:43+08:00 ] /SScms/install.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.381182s ]
[ 2013-04-19T21:59:43+08:00 ] /SScms/install.php | INFO: Tag[ view_filter ] --START--
[ 2013-04-19T21:59:44+08:00 ] /SScms/install.php | INFO: Run ContentReplace Behavior [ RunTime:0.031447s ]
[ 2013-04-19T21:59:44+08:00 ] /SScms/install.php | INFO: Run TokenBuild Behavior [ RunTime:0.021073s ]
[ 2013-04-19T21:59:44+08:00 ] /SScms/install.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.059319s ]
[ 2013-04-19T21:59:44+08:00 ] /SScms/install.php | INFO: Run ShowRuntime Behavior [ RunTime:0.024324s ]
[ 2013-04-19T21:59:44+08:00 ] /SScms/install.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.136612s ]
[ 2013-04-19T21:59:44+08:00 ] /SScms/install.php | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\phpweb\SScms\install\Lang\common.php:1) View.class.php 第 120 行.
[ 2013-04-19T21:59:44+08:00 ] /SScms/install.php | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\phpweb\SScms\install\Lang\common.php:1) View.class.php 第 121 行.
[ 2013-04-19T21:59:44+08:00 ] /SScms/install.php | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\phpweb\SScms\install\Lang\common.php:1) View.class.php 第 122 行.
[ 2013-04-19T21:59:44+08:00 ] /SScms/install.php | INFO: Tag[ view_end ] --START--
[ 2013-04-19T21:59:44+08:00 ] /SScms/install.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.036322s ]
[ 2013-04-19T21:59:44+08:00 ] /SScms/install.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.036461s ]
[ 2013-04-19T21:59:49+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Tag[ app_begin ] --START--
[ 2013-04-19T21:59:49+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000537s ]
