[ 2013-03-27T09:45:29+08:00 ] /SScms/install.php | INFO: Tag[ app_begin ] --START--
[ 2013-03-27T09:45:29+08:00 ] /SScms/install.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.011991s ]
[ 2013-03-27T09:45:29+08:00 ] /SScms/install.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.013305s ]
[ 2013-03-27T09:45:29+08:00 ] /SScms/install.php | NOTIC: [8] Use of undefined constant IS_POST - assumed 'IS_POST' indexAction.class.php 第 18 行.
[ 2013-03-27T09:45:29+08:00 ] /SScms/install.php | INFO: Tag[ view_template ] --START--
[ 2013-03-27T09:45:29+08:00 ] /SScms/install.php | INFO: Run LocationTemplate Behavior [ RunTime:0.018488s ]
[ 2013-03-27T09:45:29+08:00 ] /SScms/install.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.018556s ]
[ 2013-03-27T09:45:29+08:00 ] /SScms/install.php | INFO: Tag[ view_parse ] --START--
[ 2013-03-27T09:45:29+08:00 ] /SScms/install.php | INFO: Run ParseTemplate Behavior [ RunTime:0.133900s ]
[ 2013-03-27T09:45:29+08:00 ] /SScms/install.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.133979s ]
[ 2013-03-27T09:45:29+08:00 ] /SScms/install.php | INFO: Tag[ view_filter ] --START--
[ 2013-03-27T09:45:29+08:00 ] /SScms/install.php | INFO: Run ContentReplace Behavior [ RunTime:0.019432s ]
[ 2013-03-27T09:45:29+08:00 ] /SScms/install.php | INFO: Run TokenBuild Behavior [ RunTime:0.003842s ]
[ 2013-03-27T09:45:29+08:00 ] /SScms/install.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.006378s ]
[ 2013-03-27T09:45:29+08:00 ] /SScms/install.php | INFO: Run ShowRuntime Behavior [ RunTime:0.008095s ]
[ 2013-03-27T09:45:29+08:00 ] /SScms/install.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.037946s ]
[ 2013-03-27T09:45:29+08:00 ] /SScms/install.php | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\web\SScms\install\Lang\common.php:1) View.class.php 第 120 行.
[ 2013-03-27T09:45:29+08:00 ] /SScms/install.php | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\web\SScms\install\Lang\common.php:1) View.class.php 第 121 行.
[ 2013-03-27T09:45:29+08:00 ] /SScms/install.php | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\web\SScms\install\Lang\common.php:1) View.class.php 第 122 行.
[ 2013-03-27T09:45:29+08:00 ] /SScms/install.php | INFO: Tag[ view_end ] --START--
[ 2013-03-27T09:45:29+08:00 ] /SScms/install.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.010713s ]
[ 2013-03-27T09:45:29+08:00 ] /SScms/install.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.010768s ]
[ 2013-03-27T11:33:51+08:00 ] /SScms/install.php | INFO: Tag[ app_begin ] --START--
[ 2013-03-27T11:33:51+08:00 ] /SScms/install.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000590s ]
[ 2013-03-27T11:33:51+08:00 ] /SScms/install.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000669s ]
[ 2013-03-27T11:33:51+08:00 ] /SScms/install.php | NOTIC: [8] Use of undefined constant IS_POST - assumed 'IS_POST' indexAction.class.php 第 18 行.
[ 2013-03-27T11:33:51+08:00 ] /SScms/install.php | INFO: Tag[ view_template ] --START--
[ 2013-03-27T11:33:51+08:00 ] /SScms/install.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000918s ]
[ 2013-03-27T11:33:51+08:00 ] /SScms/install.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000978s ]
[ 2013-03-27T11:33:51+08:00 ] /SScms/install.php | INFO: Tag[ view_parse ] --START--
[ 2013-03-27T11:33:51+08:00 ] /SScms/install.php | INFO: Run ParseTemplate Behavior [ RunTime:0.012088s ]
[ 2013-03-27T11:33:51+08:00 ] /SScms/install.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012167s ]
[ 2013-03-27T11:33:51+08:00 ] /SScms/install.php | INFO: Tag[ view_filter ] --START--
[ 2013-03-27T11:33:51+08:00 ] /SScms/install.php | INFO: Run ContentReplace Behavior [ RunTime:0.000733s ]
[ 2013-03-27T11:33:51+08:00 ] /SScms/install.php | INFO: Run TokenBuild Behavior [ RunTime:0.001076s ]
[ 2013-03-27T11:33:51+08:00 ] /SScms/install.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000729s ]
[ 2013-03-27T11:33:51+08:00 ] /SScms/install.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000712s ]
[ 2013-03-27T11:33:51+08:00 ] /SScms/install.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003433s ]
[ 2013-03-27T11:33:51+08:00 ] /SScms/install.php | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\web\SScms\install\Lang\common.php:1) View.class.php 第 120 行.
[ 2013-03-27T11:33:51+08:00 ] /SScms/install.php | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\web\SScms\install\Lang\common.php:1) View.class.php 第 121 行.
[ 2013-03-27T11:33:51+08:00 ] /SScms/install.php | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\web\SScms\install\Lang\common.php:1) View.class.php 第 122 行.
[ 2013-03-27T11:33:51+08:00 ] /SScms/install.php | INFO: Tag[ view_end ] --START--
[ 2013-03-27T11:33:51+08:00 ] /SScms/install.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000579s ]
[ 2013-03-27T11:33:51+08:00 ] /SScms/install.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000632s ]
[ 2013-03-27T11:33:54+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Tag[ app_begin ] --START--
[ 2013-03-27T11:33:54+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000580s ]
[ 2013-03-27T11:33:54+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000656s ]
[ 2013-03-27T11:33:54+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Tag[ view_template ] --START--
[ 2013-03-27T11:33:54+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Run LocationTemplate Behavior [ RunTime:0.000897s ]
[ 2013-03-27T11:33:54+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000959s ]
[ 2013-03-27T11:33:54+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Tag[ view_parse ] --START--
[ 2013-03-27T11:33:54+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Run ParseTemplate Behavior [ RunTime:0.047058s ]
[ 2013-03-27T11:33:54+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.047138s ]
[ 2013-03-27T11:33:54+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Tag[ view_filter ] --START--
[ 2013-03-27T11:33:54+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Run ContentReplace Behavior [ RunTime:0.000709s ]
[ 2013-03-27T11:33:54+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Run TokenBuild Behavior [ RunTime:0.000726s ]
[ 2013-03-27T11:33:54+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000504s ]
[ 2013-03-27T11:33:54+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Run ShowRuntime Behavior [ RunTime:0.000621s ]
[ 2013-03-27T11:33:54+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002702s ]
[ 2013-03-27T11:33:54+08:00 ] /SScms/install.php?a=setconf&m=index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\web\SScms\install\Lang\common.php:1) View.class.php 第 120 行.
[ 2013-03-27T11:33:54+08:00 ] /SScms/install.php?a=setconf&m=index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\web\SScms\install\Lang\common.php:1) View.class.php 第 121 行.
[ 2013-03-27T11:33:54+08:00 ] /SScms/install.php?a=setconf&m=index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\web\SScms\install\Lang\common.php:1) View.class.php 第 122 行.
[ 2013-03-27T11:33:54+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Tag[ view_end ] --START--
[ 2013-03-27T11:33:54+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000592s ]
