[ 2013-03-28T18:47:03+08:00 ] /SScms/install.php | INFO: Tag[ app_begin ] --START--
[ 2013-03-28T18:47:03+08:00 ] /SScms/install.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.037055s ]
[ 2013-03-28T18:47:03+08:00 ] /SScms/install.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.037199s ]
[ 2013-03-28T18:47:03+08:00 ] /SScms/install.php | NOTIC: [8] Use of undefined constant IS_POST - assumed 'IS_POST' indexAction.class.php 第 18 行.
[ 2013-03-28T18:47:03+08:00 ] /SScms/install.php | INFO: Tag[ view_template ] --START--
[ 2013-03-28T18:47:03+08:00 ] /SScms/install.php | INFO: Run LocationTemplate Behavior [ RunTime:0.019412s ]
[ 2013-03-28T18:47:03+08:00 ] /SScms/install.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.019504s ]
[ 2013-03-28T18:47:03+08:00 ] /SScms/install.php | INFO: Tag[ view_parse ] --START--
[ 2013-03-28T18:47:03+08:00 ] /SScms/install.php | INFO: Run ParseTemplate Behavior [ RunTime:0.132498s ]
[ 2013-03-28T18:47:03+08:00 ] /SScms/install.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.132596s ]
[ 2013-03-28T18:47:03+08:00 ] /SScms/install.php | INFO: Tag[ view_filter ] --START--
[ 2013-03-28T18:47:03+08:00 ] /SScms/install.php | INFO: Run ContentReplace Behavior [ RunTime:0.013580s ]
[ 2013-03-28T18:47:03+08:00 ] /SScms/install.php | INFO: Run TokenBuild Behavior [ RunTime:0.001366s ]
[ 2013-03-28T18:47:03+08:00 ] /SScms/install.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001432s ]
[ 2013-03-28T18:47:03+08:00 ] /SScms/install.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001336s ]
[ 2013-03-28T18:47:03+08:00 ] /SScms/install.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.017941s ]
[ 2013-03-28T18:47:03+08:00 ] /SScms/install.php | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\PHP100.COM1\SScms\install\Lang\common.php:1) View.class.php 第 120 行.
[ 2013-03-28T18:47:03+08:00 ] /SScms/install.php | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\PHP100.COM1\SScms\install\Lang\common.php:1) View.class.php 第 121 行.
[ 2013-03-28T18:47:03+08:00 ] /SScms/install.php | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\PHP100.COM1\SScms\install\Lang\common.php:1) View.class.php 第 122 行.
[ 2013-03-28T18:47:03+08:00 ] /SScms/install.php | INFO: Tag[ view_end ] --START--
[ 2013-03-28T18:47:03+08:00 ] /SScms/install.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.001231s ]
[ 2013-03-28T18:47:03+08:00 ] /SScms/install.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001295s ]
[ 2013-03-28T18:47:05+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Tag[ app_begin ] --START--
[ 2013-03-28T18:47:05+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000284s ]
[ 2013-03-28T18:47:05+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000373s ]
[ 2013-03-28T18:47:05+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Tag[ view_template ] --START--
[ 2013-03-28T18:47:05+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Run LocationTemplate Behavior [ RunTime:0.001157s ]
[ 2013-03-28T18:47:05+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001242s ]
[ 2013-03-28T18:47:05+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Tag[ view_parse ] --START--
[ 2013-03-28T18:47:05+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Run ParseTemplate Behavior [ RunTime:0.123730s ]
[ 2013-03-28T18:47:05+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.123827s ]
[ 2013-03-28T18:47:05+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Tag[ view_filter ] --START--
[ 2013-03-28T18:47:05+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Run ContentReplace Behavior [ RunTime:0.000765s ]
[ 2013-03-28T18:47:05+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Run TokenBuild Behavior [ RunTime:0.000716s ]
[ 2013-03-28T18:47:05+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000548s ]
[ 2013-03-28T18:47:05+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Run ShowRuntime Behavior [ RunTime:0.000656s ]
[ 2013-03-28T18:47:05+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002860s ]
[ 2013-03-28T18:47:05+08:00 ] /SScms/install.php?a=setconf&m=index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\PHP100.COM1\SScms\install\Lang\common.php:1) View.class.php 第 120 行.
[ 2013-03-28T18:47:05+08:00 ] /SScms/install.php?a=setconf&m=index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\PHP100.COM1\SScms\install\Lang\common.php:1) View.class.php 第 121 行.
[ 2013-03-28T18:47:05+08:00 ] /SScms/install.php?a=setconf&m=index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\PHP100.COM1\SScms\install\Lang\common.php:1) View.class.php 第 122 行.
[ 2013-03-28T18:47:05+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Tag[ view_end ] --START--
[ 2013-03-28T18:47:05+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000583s ]
[ 2013-03-28T18:47:05+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000646s ]
[ 2013-03-28T18:47:23+08:00 ] /SScms/install.php?a=install&m=index | INFO: Tag[ app_begin ] --START--
[ 2013-03-28T18:47:23+08:00 ] /SScms/install.php?a=install&m=index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000287s ]
[ 2013-03-28T18:47:23+08:00 ] /SScms/install.php?a=install&m=index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000385s ]
[ 2013-03-28T18:47:23+08:00 ] /SScms/install.php?a=install&m=index | INFO: Tag[ view_template ] --START--
[ 2013-03-28T18:47:23+08:00 ] /SScms/install.php?a=install&m=index | INFO: Run LocationTemplate Behavior [ RunTime:0.000784s ]
[ 2013-03-28T18:47:23+08:00 ] /SScms/install.php?a=install&m=index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000856s ]
[ 2013-03-28T18:47:23+08:00 ] /SScms/install.php?a=install&m=index | INFO: Tag[ view_parse ] --START--
[ 2013-03-28T18:47:23+08:00 ] /SScms/install.php?a=install&m=index | INFO: Run ParseTemplate Behavior [ RunTime:0.045952s ]
[ 2013-03-28T18:47:23+08:00 ] /SScms/install.php?a=install&m=index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.046048s ]
[ 2013-03-28T18:47:23+08:00 ] /SScms/install.php?a=install&m=index | INFO: Tag[ view_filter ] --START--
[ 2013-03-28T18:47:23+08:00 ] /SScms/install.php?a=install&m=index | INFO: Run ContentReplace Behavior [ RunTime:0.000354s ]
[ 2013-03-28T18:47:23+08:00 ] /SScms/install.php?a=install&m=index | INFO: Run TokenBuild Behavior [ RunTime:0.000336s ]
[ 2013-03-28T18:47:23+08:00 ] /SScms/install.php?a=install&m=index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000193s ]
[ 2013-03-28T18:47:23+08:00 ] /SScms/install.php?a=install&m=index | INFO: Run ShowRuntime Behavior [ RunTime:0.000302s ]
[ 2013-03-28T18:47:23+08:00 ] /SScms/install.php?a=install&m=index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001357s ]
[ 2013-03-28T18:47:23+08:00 ] /SScms/install.php?a=install&m=index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\PHP100.COM1\SScms\install\Lang\common.php:1) View.class.php 第 120 行.
[ 2013-03-28T18:47:23+08:00 ] /SScms/install.php?a=install&m=index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\PHP100.COM1\SScms\install\Lang\common.php:1) View.class.php 第 121 行.
[ 2013-03-28T18:47:23+08:00 ] /SScms/install.php?a=install&m=index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\PHP100.COM1\SScms\install\Lang\common.php:1) View.class.php 第 122 行.
[ 2013-03-28T18:47:23+08:00 ] /SScms/install.php?a=install&m=index | INFO: Tag[ view_end ] --START--
[ 2013-03-28T18:47:23+08:00 ] /SScms/install.php?a=install&m=index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000231s ]
[ 2013-03-28T18:47:23+08:00 ] /SScms/install.php?a=install&m=index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000293s ]
[ 2013-03-28T18:47:23+08:00 ] /SScms/install.php?a=finish_done&m=index | INFO: Tag[ app_begin ] --START--
[ 2013-03-28T18:47:23+08:00 ] /SScms/install.php?a=finish_done&m=index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000296s ]
