[ 2013-04-15T11:42:04+08:00 ] /SScms/install.php | INFO: Tag[ app_begin ] --START--
[ 2013-04-15T11:42:04+08:00 ] /SScms/install.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000793s ]
[ 2013-04-15T11:42:04+08:00 ] /SScms/install.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000889s ]
[ 2013-04-15T11:42:04+08:00 ] /SScms/install.php | INFO: Tag[ view_template ] --START--
[ 2013-04-15T11:42:04+08:00 ] /SScms/install.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001806s ]
[ 2013-04-15T11:42:04+08:00 ] /SScms/install.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001900s ]
[ 2013-04-15T11:42:04+08:00 ] /SScms/install.php | INFO: Tag[ view_parse ] --START--
[ 2013-04-15T11:42:04+08:00 ] /SScms/install.php | INFO: Run ParseTemplate Behavior [ RunTime:0.106172s ]
[ 2013-04-15T11:42:04+08:00 ] /SScms/install.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.106270s ]
[ 2013-04-15T11:42:04+08:00 ] /SScms/install.php | INFO: Tag[ view_filter ] --START--
[ 2013-04-15T11:42:04+08:00 ] /SScms/install.php | INFO: Run ContentReplace Behavior [ RunTime:0.000865s ]
[ 2013-04-15T11:42:04+08:00 ] /SScms/install.php | INFO: Run TokenBuild Behavior [ RunTime:0.000802s ]
[ 2013-04-15T11:42:04+08:00 ] /SScms/install.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000645s ]
[ 2013-04-15T11:42:04+08:00 ] /SScms/install.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000792s ]
[ 2013-04-15T11:42:04+08:00 ] /SScms/install.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003282s ]
[ 2013-04-15T11:42:04+08:00 ] /SScms/install.php | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\PHP100.COM1\SScms\install\Lang\common.php:1) View.class.php 第 120 行.
[ 2013-04-15T11:42:04+08:00 ] /SScms/install.php | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\PHP100.COM1\SScms\install\Lang\common.php:1) View.class.php 第 121 行.
[ 2013-04-15T11:42:04+08:00 ] /SScms/install.php | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\PHP100.COM1\SScms\install\Lang\common.php:1) View.class.php 第 122 行.
[ 2013-04-15T11:42:04+08:00 ] /SScms/install.php | INFO: Tag[ view_end ] --START--
[ 2013-04-15T11:42:04+08:00 ] /SScms/install.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000679s ]
[ 2013-04-15T11:42:04+08:00 ] /SScms/install.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000741s ]
[ 2013-04-15T11:42:11+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Tag[ app_begin ] --START--
[ 2013-04-15T11:42:11+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000746s ]
[ 2013-04-15T11:42:11+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000839s ]
[ 2013-04-15T11:42:11+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Tag[ view_template ] --START--
[ 2013-04-15T11:42:11+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Run LocationTemplate Behavior [ RunTime:0.001201s ]
[ 2013-04-15T11:42:11+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001279s ]
[ 2013-04-15T11:42:11+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Tag[ view_parse ] --START--
[ 2013-04-15T11:42:11+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Run ParseTemplate Behavior [ RunTime:0.062235s ]
[ 2013-04-15T11:42:11+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.062331s ]
[ 2013-04-15T11:42:11+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Tag[ view_filter ] --START--
[ 2013-04-15T11:42:11+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Run ContentReplace Behavior [ RunTime:0.000878s ]
[ 2013-04-15T11:42:11+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Run TokenBuild Behavior [ RunTime:0.000895s ]
[ 2013-04-15T11:42:11+08:00 ] /SScms/install.php?a=setconf&m=index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000662s ]
